date,longitude,latitude,accumulation_rate_per_day,accumulation_rate_per_month,cumulative_accumulation
1990-12-31,-8.3667,-70.75,0.0708,0.2,0.2
1991-01-31,-8.3692,-70.7479,0.0904,2.8,3.0
1991-02-28,-8.3692,-70.7479,0.0766,2.1,5.2
1991-03-31,-8.3692,-70.7479,0.0448,1.4,6.5
1991-04-30,-8.3692,-70.7479,0.1756,5.3,11.8
1991-05-31,-8.3692,-70.7479,0.5205,16.1,27.9
1991-06-30,-8.3692,-70.7479,0.4989,15.0,42.9
1991-07-31,-8.3692,-70.7479,0.1682,5.2,48.1
1991-08-31,-8.3692,-70.7479,0.2303,7.1,55.3
1991-09-30,-8.3692,-70.7479,0.3671,11.0,66.3
1991-10-31,-8.3692,-70.7479,-0.0018,-0.1,66.2
1991-11-30,-8.3692,-70.7479,0.2039,6.1,72.3
1991-12-31,-8.3692,-70.7479,-0.0106,-0.3,72.0
1992-01-31,-8.3717,-70.7459,-0.0086,-0.3,71.7
1992-02-29,-8.3717,-70.7459,0.0857,2.5,74.2
1992-03-31,-8.3717,-70.7459,0.5972,18.5,92.7
1992-04-30,-8.3717,-70.7459,0.1119,3.4,96.1
1992-05-31,-8.3717,-70.7459,0.107,3.3,99.4
1992-06-30,-8.3717,-70.7459,0.16,4.8,104.2
1992-07-31,-8.3717,-70.7459,0.2987,9.3,113.5
1992-08-31,-8.3717,-70.7459,0.069,2.1,115.6
1992-09-30,-8.3717,-70.7459,0.2,6.0,121.6
1992-10-31,-8.3717,-70.7459,0.5651,17.5,139.1
1992-11-30,-8.3717,-70.7459,0.1927,5.8,144.9
1992-12-31,-8.3717,-70.7459,-0.0531,-1.6,143.3
1993-01-31,-8.3742,-70.7438,0.1478,4.6,147.9
1993-02-28,-8.3742,-70.7438,0.0736,2.1,149.9
1993-03-31,-8.3742,-70.7438,0.1245,3.9,153.8
1993-04-30,-8.3742,-70.7438,0.3124,9.4,163.1
1993-05-31,-8.3742,-70.7438,0.6566,20.4,183.5
1993-06-30,-8.3742,-70.7438,0.2851,8.6,192.1
1993-07-31,-8.3742,-70.7438,0.0529,1.6,193.7
1993-08-31,-8.3742,-70.7438,0.0529,1.6,195.3
1993-09-30,-8.3742,-70.7438,0.0526,1.6,196.9
1993-10-31,-8.3742,-70.7438,0.0481,1.5,198.4
1993-11-30,-8.3742,-70.7438,0.039,1.2,199.6
1993-12-31,-8.3742,-70.7438,-0.0816,-2.5,197.0
1994-01-31,-8.3767,-70.7417,0.3221,10.0,207.0
1994-02-28,-8.3767,-70.7417,0.4221,11.8,218.9
1994-03-31,-8.3767,-70.7417,0.0585,1.8,220.7
1994-04-30,-8.3767,-70.7417,0.021,0.6,221.3
1994-05-31,-8.3767,-70.7417,0.7318,22.7,244.0
1994-06-30,-8.3767,-70.7417,0.0177,0.5,244.5
1994-07-31,-8.3767,-70.7417,0.0087,0.3,244.8
1994-08-31,-8.3767,-70.7417,0.445,13.8,258.6
1994-09-30,-8.3767,-70.7417,0.1453,4.4,262.9
1994-10-31,-8.3767,-70.7417,0.0455,1.4,264.3
1994-11-30,-8.3767,-70.7417,0.5984,18.0,282.3
1994-12-31,-8.3767,-70.7417,0.4,12.4,294.7
1995-01-31,-8.3792,-70.7397,-0.0223,-0.7,294.0
1995-02-28,-8.3792,-70.7397,0.3696,10.3,304.4
1995-03-31,-8.3792,-70.7397,0.7026,21.8,326.1
1995-04-30,-8.3792,-70.7397,0.54,16.2,342.3
1995-05-31,-8.3792,-70.7397,0.2025,6.3,348.6
1995-06-30,-8.3792,-70.7397,0.1285,3.9,352.5
1995-07-31,-8.3792,-70.7397,0.1293,4.0,356.5
1995-08-31,-8.3792,-70.7397,0.4346,13.5,370.0
1995-09-30,-8.3792,-70.7397,0.1468,4.4,374.4
1995-10-31,-8.3792,-70.7397,0.4697,14.6,388.9
1995-11-30,-8.3792,-70.7397,0.0968,2.9,391.8
1995-12-31,-8.3792,-70.7397,0.8297,25.7,417.5
1996-01-31,-8.3817,-70.7376,0.382,11.8,429.4
1996-02-29,-8.3817,-70.7376,0.0883,2.6,431.9
1996-03-31,-8.3817,-70.7376,0.1612,5.0,436.9
1996-04-30,-8.3817,-70.7376,0.5196,15.6,452.5
1996-05-31,-8.3817,-70.7376,0.1394,4.3,456.9
1996-06-30,-8.3817,-70.7376,0.0957,2.9,459.7
1996-07-31,-8.3817,-70.7376,0.2723,8.4,468.2
1996-08-31,-8.3817,-70.7376,0.42,13.0,481.2
1996-09-30,-8.3817,-70.7376,0.8249,24.7,505.9
1996-10-31,-8.3817,-70.7376,0.1256,3.9,509.8
1996-11-30,-8.3817,-70.7376,0.9458,28.4,538.2
1996-12-31,-8.3817,-70.7376,-0.0369,-1.1,537.1
1997-01-31,-8.3842,-70.7355,-0.1105,-3.4,533.6
1997-02-28,-8.3842,-70.7355,0.1695,4.7,538.4
1997-03-31,-8.3842,-70.7355,0.7081,22.0,560.3
1997-04-30,-8.3842,-70.7355,-0.0656,-2.0,558.4
1997-05-31,-8.3842,-70.7355,0.1936,6.0,564.4
1997-06-30,-8.3842,-70.7355,0.402,12.1,576.4
1997-07-31,-8.3842,-70.7355,0.6303,19.5,596.0
1997-08-31,-8.3842,-70.7355,0.035,1.1,597.0
1997-09-30,-8.3842,-70.7355,0.2897,8.7,605.7
1997-10-31,-8.3842,-70.7355,0.1533,4.8,610.5
1997-11-30,-8.3842,-70.7355,0.1417,4.3,614.7
1997-12-31,-8.3842,-70.7355,-0.0057,-0.2,614.6
1998-01-31,-8.3866,-70.7334,0.0461,1.4,616.0
1998-02-28,-8.3866,-70.7334,0.299,8.4,624.4
1998-03-31,-8.3866,-70.7334,0.4927,15.3,639.6
1998-04-30,-8.3866,-70.7334,0.6321,19.0,658.6
1998-05-31,-8.3866,-70.7334,0.4214,13.1,671.7
1998-06-30,-8.3866,-70.7334,0.4561,13.7,685.3
1998-07-31,-8.3866,-70.7334,0.904,28.0,713.4
1998-08-31,-8.3866,-70.7334,0.1993,6.2,719.5
1998-09-30,-8.3866,-70.7334,0.0701,2.1,721.7
1998-10-31,-8.3866,-70.7334,0.3545,11.0,732.6
1998-11-30,-8.3866,-70.7334,0.1448,4.3,737.0
1998-12-31,-8.3866,-70.7334,0.3956,12.3,749.2
1999-01-31,-8.3891,-70.7314,-0.0012,-0.0,749.2
1999-02-28,-8.3891,-70.7314,0.9844,27.6,776.8
1999-03-31,-8.3891,-70.7314,0.1974,6.1,782.9
1999-04-30,-8.3891,-70.7314,0.4882,14.6,797.5
1999-05-31,-8.3891,-70.7314,0.4824,15.0,812.5
1999-06-30,-8.3891,-70.7314,0.3128,9.4,821.9
1999-07-31,-8.3891,-70.7314,0.3645,11.3,833.2
1999-08-31,-8.3891,-70.7314,0.6848,21.2,854.4
1999-09-30,-8.3891,-70.7314,0.105,3.2,857.6
1999-10-31,-8.3891,-70.7314,0.262,8.1,865.7
1999-11-30,-8.3891,-70.7314,-0.0186,-0.6,865.1
1999-12-31,-8.3891,-70.7314,0.2913,9.0,874.2
2000-01-31,-8.3916,-70.7293,0.2576,8.0,882.1
2000-02-29,-8.3916,-70.7293,0.0953,2.8,884.9
2000-03-31,-8.3916,-70.7293,0.0267,0.8,885.7
2000-04-30,-8.3916,-70.7293,0.2797,8.4,894.1
2000-05-31,-8.3916,-70.7293,0.3265,10.1,904.2
2000-06-30,-8.3916,-70.7293,0.1925,5.8,910.0
2000-07-31,-8.3916,-70.7293,0.005,0.2,910.2
2000-08-31,-8.3916,-70.7293,0.214,6.6,916.8
2000-09-30,-8.3916,-70.7293,0.2862,8.6,925.4
2000-10-31,-8.3916,-70.7293,0.0406,1.3,926.6
2000-11-30,-8.3916,-70.7293,0.2602,7.8,934.5
2000-12-31,-8.3916,-70.7293,0.0063,0.2,934.7
2001-01-31,-8.3941,-70.7272,0.3027,9.4,944.0
2001-02-28,-8.3941,-70.7272,0.213,6.0,950.0
2001-03-31,-8.3941,-70.7272,0.3288,10.2,960.2
2001-04-30,-8.3941,-70.7272,0.0679,2.0,962.2
2001-05-31,-8.3941,-70.7272,0.0029,0.1,962.3
2001-06-30,-8.3941,-70.7272,0.1071,3.2,965.5
