mmdd,accum
0101,0.0
0102,0.05364418
0103,0.009870529
0104,0.0
0105,0.02746582
0106,1.9595146
0107,0.087976456
0108,0.014162064
0109,0.0034332275
0110,0.37293434
0111,0.021457672
0112,0.0
0113,0.10471344
0114,0.9716034
0115,3.2589912
0116,0.40597916
0117,0.0021457672
0118,0.022745132
0119,0.043344498
0120,0.2939701
0121,1.0329723
0122,2.4620533
0123,1.359129
0124,1.2608528
0125,0.0008583069
0126,0.42185783
0127,2.802372
0128,2.9542923
0129,13.15999
0130,7.528639
0131,1.7560959
0201,0.020599365
0202,0.35705566
0203,0.06694794
0204,0.0021457672
0205,0.041627884
0206,0.16565323
0207,0.09012222
0208,0.0
0209,0.0
0210,0.21715164
0211,1.0570049
0212,0.497818
0213,0.0008583069
0214,0.17166138
0215,0.25491714
0216,0.0
0217,0.0
0218,0.0
0219,0.0
0220,0.0
0221,0.0
0222,0.0
0223,0.0
0224,0.0008583069
0225,0.003004074
0226,0.5124092
0227,0.0034332275
0228,1.6419411
0301,0.39868355
0302,0.0
0303,0.0
0304,0.14677048
0305,0.14333725
0306,0.102996826
0307,0.0
0308,0.009441376
0309,0.024032593
0310,0.0
0311,0.0
0312,0.0
0313,2.0813942
0314,1.6930103
0315,2.5440216
0316,0.0
0317,0.006866455
0318,0.055789948
0319,0.29525757
0320,0.08883476
0321,10.981607
0322,7.7565193
0323,0.45790672
0324,0.0
0325,0.0
0326,11.698294
0327,8.552599
0328,8.630705
0329,0.7475853
0330,1.356554
0331,3.9413452
0401,3.264141
0402,1.2256622
0403,0.014591217
0404,0.03347397
0405,0.47507286
0406,0.98876953
0407,0.016736984
0408,0.012874603
0409,3.5224915
0410,7.7479362
0411,4.3164253
0412,1.2419701
0413,0.9050846
0414,6.788349
0415,7.289171
0416,0.0111579895
0417,0.0
0418,0.0064373016
0419,1.1844635
0420,9.044838
0421,18.118858
0422,20.428562
0423,6.0673714
0424,3.2598495
0425,16.437435
0426,10.163212
0427,3.4117699
0428,7.2037697
0429,3.6027431
0430,0.05879402
0501,0.4158497
0502,0.6136894
0503,0.14162064
0504,0.018024445
0505,0.0
0506,0.0
0507,0.11329651
0508,0.0042915344
0509,0.100421906
0510,2.2024155
0511,7.9552174
0512,0.6626129
0513,0.60682297
0514,0.15964508
0515,0.0051498413
0516,5.823612
0517,22.664452
0518,0.3115654
0519,0.045490265
0520,0.2360344
0521,0.09441376
0522,0.0008583069
0523,0.0
0524,0.0
0525,0.0
0526,0.018024445
0527,0.03604889
0528,0.0
0529,0.26693344
0530,0.6231308
0531,0.3051281
0601,0.24719238
0602,0.7347107
0603,5.3824425
0604,0.085401535
0605,0.042057037
0606,0.0
0607,0.010299683
0608,0.11973381
0609,0.06093979
0610,11.636925
0611,4.2520523
0612,5.57127
0613,5.5060387
0614,0.102996826
0615,0.0
0616,0.0
0617,0.0008583069
0618,0.0
0619,0.04634857
0620,2.9517174
0621,13.458252
0622,22.755432
0623,21.744347
0624,5.8836937
0625,3.7302017
0626,5.3820133
0627,0.1493454
0628,0.06093979
0629,0.6295681
0630,0.0042915344
0701,0.0
0702,0.40597916
0703,0.6737709
0704,2.7199745
0705,6.1034203
0706,10.612535
0707,3.0392647
0708,12.243319
0709,1.3320923
0710,0.40984154
0711,0.7454395
0712,0.0042915344
0713,1.0840416
0714,0.0017166138
0715,0.010728836
0716,0.0111579895
0717,1.0278225
0718,6.163931
0719,1.3097763
0720,0.03862381
0721,0.0025749207
0722,1.5977383
0723,7.357836
0724,1.8590927
0725,0.0
0726,0.020599365
0727,0.31929016
0728,0.660038
0729,0.06523132
0730,0.0008583069
0731,0.012874603
0801,0.0
0802,0.0
0803,0.0
0804,0.0
0805,0.0
0806,0.0
0807,0.0
0808,0.0
0809,0.0008583069
0810,1.0986328
0811,10.07266
0812,1.367712
0813,4.763603
0814,0.2120018
0815,2.3560524
0816,14.54401
0817,2.8985023
0818,0.0042915344
0819,0.008583069
0820,0.1613617
0821,2.6976585
0822,0.0
0823,0.0034332275
0824,0.0025749207
0825,0.0
0826,0.0008583069
0827,0.009441376
0828,0.024032593
0829,0.04377365
0830,0.637722
0831,0.42057037
0901,0.78020096
0902,4.774761
0903,5.3661346
0904,6.743717
0905,5.1022053
0906,1.2316704
0907,0.0008583069
0908,0.14591217
0909,1.2196541
0910,1.5114784
0911,0.18110275
0912,0.28924942
0913,0.15707016
0914,0.18882751
0915,2.293396
0916,8.591652
0917,0.52871704
0918,0.012016296
0919,5.394459
0920,5.46484
0921,2.0775318
0922,4.76532
0923,2.847004
0924,0.16994476
0925,0.32444
0926,0.0
0927,0.02746582
0928,0.5578995
0929,2.2745132
0930,0.57849884
1001,2.3423195
1002,14.887333
1003,4.398823
1004,0.16908646
1005,0.09441376
1006,0.0
1007,16.241741
1008,18.328285
1009,13.739777
1010,4.9009323
1011,1.0677338
1012,5.9000015
1013,7.422638
1014,10.313845
1015,10.388088
1016,2.6556015
1017,0.5952358
1018,0.02360344
1019,0.0025749207
1020,3.18861
1021,8.098125
1022,3.5091877
1023,1.0175228
1024,1.1518478
1025,0.114154816
1026,0.021457672
1027,1.448822
1028,16.533566
1029,26.126003
1030,4.338312
1031,0.47249794
1101,7.68528
1102,2.8598785
