mmdd,accum
0101,0.0
0102,0.044202805
0103,0.006866455
0104,0.0
0105,0.014162064
0106,1.5548229
0107,0.056648254
0108,0.006008148
0109,0.00042915344
0110,0.2553463
0111,0.009441376
0112,0.0
0113,0.075531006
0114,0.70466995
0115,2.978754
0116,0.30341148
0117,0.0021457672
0118,0.008583069
0119,0.025320053
0120,0.1999855
0121,0.82182884
0122,2.0007133
0123,0.7141113
0124,0.35147667
0125,0.0
0126,0.26392937
0127,2.3569107
0128,2.231598
0129,11.645508
0130,6.388378
0131,1.4436722
0201,0.01244545
0202,0.27079582
0203,0.043344498
0204,0.0017166138
0205,0.0248909
0206,0.12960434
0207,0.061798096
0208,0.0008583069
0209,0.0
0210,0.16393661
0211,0.838995
0212,0.3695011
0213,0.0
0214,0.1373291
0215,0.21543503
0216,0.0
0217,0.0
0218,0.0
0219,0.0
0220,0.0
0221,0.0
0222,0.0
0223,0.0
0224,0.0
0225,0.0008583069
0226,0.3733635
0227,0.0017166138
0228,1.1947632
0301,0.2793789
0302,0.0
0303,0.0
0304,0.11758804
0305,0.06351471
0306,0.070381165
0307,0.0
0308,0.004720688
0309,0.014162064
0310,0.0
0311,0.0
0312,0.0
0313,1.5822887
0314,0.869894
0315,2.0981312
0316,0.0
0317,0.003862381
0318,0.04634857
0319,0.24204254
0320,0.070381165
0321,9.082174
0322,3.1319618
0323,0.2939701
0324,0.0
0325,0.0
0326,10.497522
0327,8.016586
0328,7.914448
0329,0.632143
0330,1.0703087
0331,3.1456947
0401,2.777052
0402,0.9724617
0403,0.009870529
0404,0.019311905
0405,0.32615662
0406,0.8008003
0407,0.007724762
0408,0.0064373016
0409,3.1469822
0410,6.4167023
0411,3.848219
0412,0.95443726
0413,0.660038
0414,6.044197
0415,6.637287
0416,0.0034332275
0417,0.0
0418,0.0021457672
0419,1.0170937
0420,7.8633785
0421,17.00263
0422,19.359112
0423,5.4601192
0424,2.855587
0425,14.891195
0426,9.41391
0427,2.9959202
0428,6.6437244
0429,3.2113552
